Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Years Since,State,Winner
6355,12310,51.1,88533,53105.0,833,6.766856214,7,CT,Republican
6357,12023,48.6,75466,41108.0,454,3.776095816,7,CT,Republican
6359,5318,46.5,72880,35715.0,223,4.193305754,7,CT,Republican
6360,37153,37.0,52275,27919.0,5923,15.94218502,7,CT,Republican
6365,4716,45.3,69439,33182.0,367,7.78201866,7,CT,Republican
6370,7418,39.7,90610,36342.0,540,7.279590186,7,CT,Republican
6371,9668,51.6,87904,51428.0,218,2.254861398,7,CT,Republican
6373,358,36.8,38869,18726.0,179,50.0,7,CT,Republican
6374,7601,43.9,68205,29371.0,358,4.709906591,7,CT,Republican
6375,3820,44.8,89677,38544.0,204,5.340314136,7,CT,Republican
6376,263,52.6,-666666666,34630.0,0,0.0,7,CT,Republican
6377,2818,40.9,71958,29332.0,71,2.519517388,7,CT,Republican
6378,5350,52.2,96100,62658.0,316,5.906542056,7,CT,Republican
6379,9135,43.3,64267,32566.0,1023,11.19868637,7,CT,Republican
6380,2858,35.5,43084,26590.0,349,12.2113366,7,CT,Republican
6382,11844,43.4,61044,27154.0,929,7.843633907,7,CT,Republican
6384,2887,41.6,74310,30892.0,125,4.32975407,7,CT,Republican
6385,15666,48.7,75702,40784.0,956,6.102387336,7,CT,Republican
6387,320,27.5,36029,15447.0,15,4.6875,7,CT,Republican
6390,303,51.0,152652,66379.0,2,0.660066007,7,NY,Republican
6401,18934,39.1,43336,23909.0,3896,20.57674026,7,CT,Republican
6403,6075,43.3,84570,37459.0,311,5.119341564,7,CT,Republican
6405,27901,47.3,71678,44247.0,1631,5.845668614,7,CT,Republican
6409,547,53.0,-666666666,38244.0,31,5.667276051,7,CT,Republican
6410,29189,45.1,108432,45179.0,639,2.189180856,7,CT,Republican
6412,4290,51.1,76648,43323.0,201,4.685314685,7,CT,Republican
6413,13055,46.2,73804,39100.0,1287,9.858291842,7,CT,Republican
6414,113,62.1,94167,41860.0,0,0.0,7,CT,Republican
6415,16938,41.0,98787,41248.0,749,4.422009682,7,CT,Republican
6416,14049,44.7,83739,43171.0,714,5.082212257,7,CT,Republican
6417,4552,45.2,69861,42427.0,216,4.74516696,7,CT,Republican
6418,12771,39.0,55398,28882.0,1593,12.47357294,7,CT,Republican
6419,6464,48.2,103295,47236.0,154,2.382425743,7,CT,Republican
6420,4259,40.6,105000,45626.0,162,3.803709791,7,CT,Republican
6422,7322,45.1,114491,55752.0,219,2.990986069,7,CT,Republican
6423,5050,45.6,79318,45826.0,114,2.257425743,7,CT,Republican
6424,12824,44.7,96146,40641.0,675,5.263568309,7,CT,Republican
6426,3071,60.8,100536,62673.0,193,6.284597851,7,CT,Republican
6437,22382,48.0,102199,55566.0,929,4.150656778,7,CT,Republican
6438,2656,39.0,88432,42893.0,138,5.195783133,7,CT,Republican
6441,5328,47.8,105526,48201.0,298,5.593093093,7,CT,Republican
6442,2976,47.5,76739,42366.0,88,2.956989247,7,CT,Republican
6443,18247,47.5,105673,52847.0,429,2.351071409,7,CT,Republican
6444,214,29.8,-666666666,25608.0,0,0.0,7,CT,Republican
6447,6426,44.2,103276,45136.0,133,2.069716776,7,CT,Republican
6450,35907,41.8,58361,31371.0,4245,11.82220737,7,CT,Republican
6451,24434,39.9,51926,29502.0,3200,13.09650487,7,CT,Republican
6455,3323,49.1,109706,48824.0,96,2.888955763,7,CT,Republican
6456,260,57.6,-666666666,70554.0,43,16.53846154,7,CT,Republican
6457,46933,36.4,63828,35074.0,4888,10.4148467,7,CT,Republican
6460,38233,44.5,80776,41746.0,2740,7.166583841,7,CT,Republican
6461,15197,43.5,85417,40954.0,974,6.409159703,7,CT,Republican
6467,365,50.5,104750,27165.0,0,0.0,7,CT,Republican
6468,19784,44.1,113333,50195.0,703,3.553376466,7,CT,Republican
6469,3132,45.0,81615,35335.0,223,7.120051086,7,CT,Republican
6470,16612,45.1,113158,50837.0,614,3.696123284,7,CT,Republican
6471,7733,47.5,84385,46937.0,202,2.61218156,7,CT,Republican
6472,6760,45.9,85929,38326.0,322,4.763313609,7,CT,Republican
6473,24298,45.2,94344,40784.0,925,3.806897687,7,CT,Republican
6475,10174,50.6,75237,45791.0,511,5.022606644,7,CT,Republican
6477,13941,45.4,106475,50659.0,480,3.443081558,7,CT,Republican
6478,12916,44.0,99311,39670.0,430,3.329204088,7,CT,Republican
1001,17423,45.0,56714,30430.0,1462,8.391207025,7,MA,Republican
1002,29970,23.2,48923,26072.0,8351,27.8645312,7,MA,Republican
1003,11296,19.9,2499,3829.0,54,0.478045326,7,MA,Republican
1005,5228,44.1,70568,32169.0,230,4.399387911,7,MA,Republican
1007,14888,42.5,80502,36359.0,1410,9.47071467,7,MA,Republican
1008,1194,48.5,67250,34505.0,49,4.103852596,7,MA,Republican
1009,237,62.2,-666666666,26150.0,105,44.30379747,7,MA,Republican
1010,3718,46.6,83273,38693.0,95,2.555137171,7,MA,Republican
1011,1523,41.0,74722,29951.0,110,7.222586999,7,MA,Republican
1012,528,50.5,60417,34032.0,60,11.36363636,7,MA,Republican
1013,22943,35.0,40876,21677.0,4233,18.45007192,7,MA,Republican
1020,30629,44.5,57851,29705.0,3166,10.3366091,7,MA,Republican
1022,2528,41.1,44701,26605.0,644,25.47468354,7,MA,Republican
1026,1018,51.2,50924,28269.0,45,4.42043222,7,MA,Republican
1027,17872,45.1,61217,33598.0,1774,9.92614145,7,MA,Republican
1028,16063,46.0,83003,39282.0,677,4.214654797,7,MA,Republican
1029,760,47.9,54375,32415.0,96,12.63157895,7,MA,Republican
1030,11278,44.9,64874,32812.0,1124,9.966306083,7,MA,Republican
1031,1192,43.2,39327,26153.0,268,22.48322148,7,MA,Republican
1032,590,49.3,73750,36045.0,15,2.542372881,7,MA,Republican
1033,6310,45.5,86951,39115.0,290,4.595879556,7,MA,Republican
1034,2323,46.6,82159,32783.0,230,9.900990099,7,MA,Republican
1035,5338,46.3,62634,40287.0,384,7.193705508,7,MA,Republican
1036,5190,48.7,80375,38547.0,256,4.93256262,7,MA,Republican
1037,755,50.3,80417,33913.0,86,11.39072848,7,MA,Republican
1038,2853,50.7,65887,35804.0,157,5.50297932,7,MA,Republican
1039,1194,54.0,74107,43845.0,78,6.532663317,7,MA,Republican
1040,40280,34.4,38829,21897.0,11227,27.87239325,7,MA,Republican
1050,2343,45.7,72386,29854.0,221,9.432351686,7,MA,Republican
1053,1697,49.8,66528,30391.0,251,14.79080731,7,MA,Republican
1054,1972,48.0,86771,45344.0,84,4.259634888,7,MA,Republican
1056,21352,44.2,64537,31897.0,1124,5.264143874,7,MA,Republican
1057,8773,45.5,74439,33763.0,496,5.653710247,7,MA,Republican
1060,15407,35.0,56128,35487.0,2258,14.65567599,7,MA,Republican
1062,10867,43.8,73913,39024.0,1445,13.29713812,7,MA,Republican
1063,563,20.3,-666666666,3134.0,0,0.0,7,MA,Republican
1068,1825,45.0,85052,34288.0,62,3.397260274,7,MA,Republican
1069,8753,44.0,57994,30199.0,591,6.751970753,7,MA,Republican
1070,562,52.7,55208,30773.0,60,10.67615658,7,MA,Republican
1071,1271,47.9,70938,34924.0,17,1.337529504,7,MA,Republican
1072,1542,46.8,75658,36704.0,187,12.12710765,7,MA,Republican
1073,6081,48.4,90318,44278.0,251,4.12761059,7,MA,Republican
1074,228,35.2,-666666666,16890.0,0,0.0,7,MA,Republican
1075,17770,40.8,61821,30822.0,1524,8.57625211,7,MA,Republican
1077,9650,45.7,76576,36861.0,554,5.740932642,7,MA,Republican
1079,811,42.8,31778,24201.0,74,9.124537608,7,MA,Republican
1080,2452,33.5,51023,23489.0,773,31.52528548,7,MA,Republican
1081,1823,43.5,51182,25679.0,100,5.485463522,7,MA,Republican
1082,10612,43.2,52178,27773.0,1434,13.51300415,7,MA,Republican
1083,3148,36.3,45954,22559.0,245,7.782719187,7,MA,Republican
1084,154,61.5,68750,50727.0,0,0.0,7,MA,Republican
1085,41479,39.0,63283,29597.0,3679,8.869548446,7,MA,Republican
1086,690,19.2,-666666666,3293.0,0,0.0,7,MA,Republican
1088,433,53.1,61875,34560.0,33,7.621247113,7,MA,Republican
1089,28575,39.1,50649,28438.0,3733,13.06386702,7,MA,Republican
1092,1191,46.8,77150,40211.0,176,14.7774979,7,MA,Republican
1093,289,54.1,84167,48793.0,16,5.53633218,7,MA,Republican
1094,347,53.7,18454,29174.0,26,7.492795389,7,MA,Republican
1095,14569,47.6,95679,40989.0,547,3.754547327,7,MA,Republican
1096,2564,44.3,73589,33768.0,224,8.736349454,7,MA,Republican
1098,1117,50.0,77083,41124.0,65,5.81915846,7,MA,Republican
1103,2430,33.3,16760,21928.0,1333,54.85596708,7,MA,Republican
1104,23183,35.2,28590,18983.0,7215,31.1219428,7,MA,Republican
1105,11576,30.6,16455,13855.0,6260,54.07740152,7,MA,Republican
1106,15983,46.4,105822,52705.0,640,4.00425452,7,MA,Republican
1107,11474,29.1,22956,13711.0,5176,45.11068503,7,MA,Republican
1108,28449,31.4,36890,18466.0,8447,29.69172906,7,MA,Republican
1109,30139,27.4,35076,14977.0,8147,27.03142108,7,MA,Republican
1118,14293,38.6,60295,27870.0,2027,14.1817673,7,MA,Republican
1119,13091,35.4,49083,22333.0,1952,14.91100756,7,MA,Republican
1128,2695,47.6,70078,33845.0,58,2.152133581,7,MA,Republican
1129,7220,41.5,60776,27405.0,1010,13.98891967,7,MA,Republican
1151,9295,32.0,36541,16820.0,2611,28.09037117,7,MA,Republican
1201,45001,43.4,45893,28433.0,7152,15.89298016,7,MA,Republican
1220,8266,45.1,48422,27309.0,852,10.30728285,7,MA,Republican
1222,829,49.2,76944,41175.0,45,5.428226779,7,MA,Republican
1223,2247,52.2,72981,39324.0,129,5.740987984,7,MA,Republican
1224,176,49.9,36324,23039.0,20,11.36363636,7,MA,Republican
1225,3192,49.0,58145,32108.0,154,4.824561404,7,MA,Republican
1226,6885,47.2,57202,32405.0,732,10.63180828,7,MA,Republican
1229,102,62.8,27083,19587.0,5,4.901960784,7,MA,Republican
1230,8195,49.4,59702,35371.0,439,5.356924954,7,MA,Republican
1235,2666,47.6,60718,32438.0,185,6.939234809,7,MA,Republican
1236,1422,42.3,80385,32117.0,20,1.406469761,7,MA,Republican
1237,2755,43.3,83311,31664.0,123,4.4646098,7,MA,Republican
1238,5950,48.7,63109,35946.0,607,10.20168067,7,MA,Republican
1240,4592,58.3,54250,48764.0,353,7.68728223,7,MA,Republican
1242,429,32.0,56840,25313.0,3,0.699300699,7,MA,Republican
1243,381,56.4,76250,46979.0,26,6.824146982,7,MA,Republican
1244,82,60.3,-666666666,51809.0,9,10.97560976,7,MA,Republican
1245,870,54.7,66136,42633.0,106,12.18390805,7,MA,Republican
1247,15725,44.4,38007,23957.0,2580,16.40699523,7,MA,Republican
1253,734,51.9,71010,39333.0,20,2.72479564,7,MA,Republican
1254,985,58.7,89583,67264.0,68,6.903553299,7,MA,Republican
1255,869,50.5,67333,36881.0,36,4.14269275,7,MA,Republican
1256,764,47.9,49000,27351.0,58,7.591623037,7,MA,Republican
1257,2164,52.6,50688,34538.0,341,15.75785582,7,MA,Republican
1258,359,63.0,65739,45881.0,29,8.077994429,7,MA,Republican
1259,556,60.2,61125,56822.0,40,7.194244604,7,MA,Republican
1260,545,42.9,101979,26842.0,26,4.770642202,7,MA,Republican
1262,1196,54.3,45500,38899.0,164,13.71237458,7,MA,Republican
1264,161,61.4,75417,45563.0,26,16.14906832,7,MA,Republican
1266,1380,56.6,68542,46857.0,64,4.637681159,7,MA,Republican
1267,7846,31.2,73085,30864.0,584,7.443283202,7,MA,Republican
1270,814,51.2,71250,38157.0,70,8.5995086,7,MA,Republican
1301,17730,42.6,49024,28633.0,2217,12.50423012,7,MA,Republican
1330,1468,50.2,79118,40071.0,81,5.517711172,7,MA,Republican
1331,13205,43.9,51750,25349.0,2020,15.2972359,7,MA,Republican
1337,2598,50.6,65139,33697.0,188,7.236335643,7,MA,Republican
1338,138,60.6,66375,25680.0,5,3.623188406,7,MA,Republican
1339,1461,49.4,51346,31610.0,152,10.40383299,7,MA,Republican
1340,1689,51.9,54063,29598.0,212,12.5518058,7,MA,Republican
1341,1716,50.2,89688,44806.0,48,2.797202797,7,MA,Republican
1342,1768,47.4,102219,46922.0,164,9.2760181,7,MA,Republican
1343,46,59.1,83125,40280.0,0,0.0,7,MA,Republican
1344,1582,41.6,61563,27271.0,201,12.70543616,7,MA,Republican
1346,465,50.1,56500,33586.0,49,10.53763441,7,MA,Republican
1347,133,38.9,39211,19143.0,22,16.54135338,7,MA,Republican
1349,1106,42.1,60493,25594.0,47,4.24954792,7,MA,Republican
1350,95,45.5,31750,22175.0,6,6.315789474,7,MA,Republican
1351,2312,46.4,81833,39407.0,190,8.21799308,7,MA,Republican
1354,1656,44.4,74167,33295.0,132,7.971014493,7,MA,Republican
1355,915,51.5,68681,36187.0,56,6.120218579,7,MA,Republican
1360,3006,45.7,63963,33157.0,127,4.224883566,7,MA,Republican
1364,7832,46.5,37911,22077.0,1049,13.39376915,7,MA,Republican
1366,1202,50.5,65774,35322.0,55,4.575707155,7,MA,Republican
1367,686,42.2,50357,25178.0,151,22.01166181,7,MA,Republican
1368,1363,48.3,67333,28429.0,138,10.12472487,7,MA,Republican
1370,3879,51.4,54803,36488.0,378,9.744779582,7,MA,Republican
1373,4184,46.8,71174,36138.0,234,5.592734226,7,MA,Republican
1375,3673,27.7,53934,34286.0,645,17.56057718,7,MA,Republican
1376,5101,43.8,41836,25130.0,1038,20.34895119,7,MA,Republican
1378,734,54.8,56985,31262.0,64,8.719346049,7,MA,Republican
1379,775,52.0,44750,29457.0,126,16.25806452,7,MA,Republican
1420,40441,34.6,50617,23622.0,7368,18.21913405,7,MA,Republican
1430,6171,42.3,86219,35860.0,375,6.07681089,7,MA,Republican
1431,3196,45.4,89934,32514.0,246,7.697121402,7,MA,Republican
1432,7594,38.8,77462,42565.0,899,11.83829339,7,MA,Republican
1434,1716,43.0,54318,15055.0,150,8.741258741,7,MA,Republican
1436,3823,40.8,77083,28266.0,328,8.57964949,7,MA,Republican
1438,635,48.4,70028,27062.0,161,25.35433071,7,MA,Republican
1440,20334,39.8,46410,24680.0,3637,17.88629881,7,MA,Republican
1450,11182,45.1,117500,50656.0,441,3.943838312,7,MA,Republican
1451,4629,47.6,140192,64234.0,201,4.342190538,7,MA,Republican
1452,4537,44.5,84803,34042.0,223,4.915142164,7,MA,Republican
1453,41336,40.8,56577,29527.0,5604,13.55718986,7,MA,Republican
1460,9538,45.2,108704,49488.0,268,2.809813378,7,MA,Republican
1462,11087,45.7,89706,40771.0,809,7.29683413,7,MA,Republican
1463,12031,43.5,84980,37824.0,589,4.895686144,7,MA,Republican
1464,7433,43.0,68864,29748.0,622,8.368088255,7,MA,Republican
1467,560,51.0,131667,47052.0,84,15.0,7,MA,Republican
1468,3704,47.7,62589,37560.0,201,5.426565875,7,MA,Republican
1469,7430,39.3,81317,35376.0,373,5.020188425,7,MA,Republican
1473,7480,44.7,96953,41812.0,210,2.807486631,7,MA,Republican
1474,1939,46.2,98221,50984.0,52,2.68179474,7,MA,Republican
1475,10613,42.3,61998,27530.0,1225,11.54244794,7,MA,Republican
1501,16239,45.7,71976,35524.0,717,4.415296508,7,MA,Republican
1503,3061,47.3,97614,47905.0,102,3.332244365,7,MA,Republican
1504,9068,41.1,75544,33253.0,501,5.524922805,7,MA,Republican
1505,4480,44.5,93197,47595.0,151,3.370535714,7,MA,Republican
